"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"191","LA",0.0256790743414151,0.0282332415663751,-0.0296785879245122,0.0810367366073423,0.363112283644944
"192","MUFA",-0.0246069102783258,0.0281653399478242,-0.0798320717212287,0.030618251164577,0.382345579777919
"193","L.HDL.TG",0.0245772194476697,0.0282515765026931,-0.0308158001971712,0.0799702390925107,0.384374040027106
"194","L.VLDL.FC..",-0.0241175414496793,0.0283901980654197,-0.079787057350491,0.0315519744511325,0.395642588638574
"195","Ace",-0.0232901128808088,0.0280591733052412,-0.0783076544285995,0.0317274286669819,0.406558005956074
"196","XL.VLDL.FC..",0.0227368281322998,0.0286532744202007,-0.0334451014001729,0.0789187576647726,0.427516102671032
"197","HDL.D",0.0218556097815868,0.028248706009619,-0.0335344524770556,0.0772456720402293,0.439153205833187
"198","XS.VLDL.CE..",0.0213746097582766,0.0282095031962885,-0.0339358422982629,0.0766850618148161,0.448660337841574
"199","Remnant.C",0.0207187265825814,0.0281623022914598,-0.0344999924274715,0.0759374455926343,0.461953586758613
"200","AcAce",0.0206218121337297,0.0281176336998112,-0.0345083603741211,0.0757519846415805,0.463341281109713
"201","VLDL.C",-0.0202626966671642,0.0281848003701244,-0.0755262240757715,0.0350008307414431,0.472221819806949
"202","XXL.VLDL.CE",-0.0207156570818468,0.0288452690103321,-0.0772796250693355,0.0358483109056418,0.472690876062678
"203","XL.HDL.FC..",-0.0201507477796436,0.0283602540804523,-0.0757619699251712,0.0354604743658841,0.477409871243537
"204","Cit",0.0196622538242277,0.0279780278074945,-0.0351956328597959,0.0745201405082512,0.482228599458843
"205","S.HDL.PL",0.0183318156125795,0.0281382389003258,-0.0368387552229194,0.0735023864480783,0.514759199985811
"206","XL.HDL.P",0.0180672407183918,0.0283360601726651,-0.0374939785979973,0.0736284600347809,0.523759245432893
"207","XL.HDL.L",0.0177317924730316,0.0283401563916067,-0.037837448167065,0.0733010331131283,0.531555019073116
"208","S.VLDL.C",0.0175291925918282,0.0282639476095626,-0.0378901362579945,0.0729485214416508,0.535156692514626
"209","S.VLDL.PL",-0.0174933358965559,0.0282097949650207,-0.0728069020151687,0.0378202302220569,0.535209694413998
"210","M.HDL.CE..",0.0174172660218857,0.0281029861265171,-0.0376856341027707,0.0725201661465421,0.535440124145055
"211","XXL.VLDL.PL..",-0.0180478179501873,0.0292047886365403,-0.0753098911726543,0.0392142552722797,0.536621601159873
"212","L.HDL.C..",-0.0170449650604964,0.0282781287267701,-0.0724896953349437,0.0383997652139509,0.546694696662408
"213","S.VLDL.FC",-0.0155995307979586,0.0282454817681981,-0.0709828698127037,0.0397838082167866,0.580778223677066
"214","His",-0.0155888895145943,0.0282808466275544,-0.0710415120816021,0.0398637330524135,0.581509312315527
"215","Phe",-0.0153984748943924,0.0281018881748875,-0.0704989482062357,0.0397019984174509,0.583749419785713
"216","ApoB.ApoA1",-0.0153194463837652,0.0282199608384875,-0.0706518630466759,0.0400129702791454,0.587251241026542
"217","XS.VLDL.TG",-0.0146713307727698,0.0282500251917653,-0.0700632623690781,0.0407206008235386,0.60354740779258
